count	ckey	example_surface	example_path	top_book
1	العباس عن محمد بن اسماعيل عن محمد بن عذافر عن عبد الله بن سنان عن ابي عبد الله	العَبّاسِ عَن مُحَمّدِ بنِ إِسمَاعِيلَ عَن مُحَمّدِ بنِ عُذَافِرٍ عَن عَبدِ اللّهِ بنِ سِنَانٍ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/26/10.json	al-istibsar
1	السكوني عن جعفر عن ابيه عن علي ع انه سيل عن رجل يكون	السكّوُنيِ ّ عَن جَعفَرٍ عَن أَبِيهِ عَن عَلِيّ ع أَنّهُ سُئِلَ عَن رَجُلٍ يَكُونُ	books/al-istibsar/1/26/11.json	al-istibsar
1	بهذا الاسناد عن حماد عن عمر بن اذينه	بِهَذَا الإِسنَادِ عَن حَمّادٍ عَن عُمَرَ بنِ أُذَينَةَ	books/al-istibsar/1/26/2.json	al-istibsar
1	حريز عن زراره عن احدهما	حَرِيزٍ عَن زُرَارَةَ عَن أَحَدِهِمَا ع	books/al-istibsar/1/26/2.json	al-istibsar
1	الشيخ رحمه الله عن ابي القاسم جعفر بن محمد عن ابيه عن سعد بن عبد الله عن احمد بن محمد بن عيسي عن محمد بن عبيد الله	أخَبرَنَيِ الشّيخُ رَحِمَهُ اللّهُ عَن أَبِي القَاسِمِ جَعفَرِ بنِ مُحَمّدٍ عَن أَبِيهِ عَن سَعدِ بنِ عَبدِ اللّهِ عَن أَحمَدَ بنِ مُحَمّدِ بنِ عِيسَي عَن مُحَمّدِ بنِ عُبَيدِ اللّهِ	books/al-istibsar/1/26/3.json	al-istibsar
1	الحسين بن عبيد الله عن احمد بن محمد بن يحيي عن ابيه عن محمد بن احمد بن يحيي عن عمران بن موسي	أخَبرَنَيِ الحُسَينُ بنُ عُبَيدِ اللّهِ عَن أَحمَدَ بنِ مُحَمّدِ بنِ يَحيَي عَن أَبِيهِ عَن مُحَمّدِ بنِ أَحمَدَ بنِ يَحيَي عَن عِمرَانَ بنِ مُوسَي	books/al-istibsar/1/26/5.json	al-istibsar
1	الحسن بن علي بن النعمان عن ابيه عن عبد الحميد بن عواض عن ابي عبد الله	الحَسَنِ بنِ عَلِيّ بنِ النّعمَانِ عَن أَبِيهِ عَن عَبدِ الحَمِيدِ بنِ عَوّاضٍ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/26/5.json	al-istibsar
1	العباس عن ابي شعيب عن عمران بن حمران انه سمع عبدا صالحا	العَبّاسِ عَن أَبِي شُعَيبٍ عَن عِمرَانَ بنِ حُمرَانَ أَنّهُ سَمِعَ عَبداً صَالِحاً	books/al-istibsar/1/26/6.json	al-istibsar
1	الحسين بن عثمان عن عبد الرحمن بن الحجاج عن زيد الشحام	الحُسَينِ بنِ عُثمَانَ عَن عَبدِ الرّحمَنِ بنِ الحَجّاجِ عَن زَيدٍ الشّحّامِ	books/al-istibsar/1/26/9.json	al-istibsar
1	محمد بن علي بن محبوب عن احمد بن الحسن بن علي عن علي بن يعقوب الهاشمي عن مروان بن مسلم	مُحَمّدُ بنُ عَلِيّ بنِ مَحبُوبٍ عَن أَحمَدَ بنِ الحَسَنِ بنِ عَلِيّ عَن عَلِيّ بنِ يَعقُوبَ الهاَشمِيِ ّ عَن مَروَانَ بنِ مُسلِمٍ	books/al-istibsar/1/260/2.json	al-istibsar
1	ابي عبد الله ع ان عليا ع صلي	أبي عبد الله ع أن عليا ع صلي	books/al-istibsar/1/260/3.json	al-istibsar
1	محمد بن علي بن محبوب عن بنان بن محمد	مُحَمّدُ بنُ عَلِيّ بنِ مَحبُوبٍ عَن بُنَانِ بنِ مُحَمّدٍ	books/al-istibsar/1/260/4.json	al-istibsar
1	المحسن بن احمد عن يونس بن يعقوب	المُحَسّنِ بنِ أَحمَدَ عَن يُونُسَ بنِ يَعقُوبَ	books/al-istibsar/1/260/4.json	al-istibsar
1	عنه عن احمد عن موسي بن القاسم	عَنهُ عَن أَحمَدَ عَن مُوسَي بنِ القَاسِمِ	books/al-istibsar/1/261/2.json	al-istibsar
1	ابي قتاده عن علي بن جعفر عن اخيه موسي بن جعفر	أَبِي قَتَادَةَ عَن عَلِيّ بنِ جَعفَرٍ عَن أَخِيهِ مُوسَي بنِ جَعفَرٍ ع	books/al-istibsar/1/261/2.json	al-istibsar
1	ابن مسكان عن عبيد الله الحلبي	ابنِ مُسكَانَ عَن عُبَيدِ اللّهِ الحلَبَيِ ّ	books/al-istibsar/1/261/3.json	al-istibsar
1	الحسين بن سعيد عن حماد عن زراره	الحُسَينُ بنِ سَعِيدٍ عَن حَمّادٍ عَن زُرَارَةَ	books/al-istibsar/1/261/5.json	al-istibsar
1	محمد عن ابي عبد الله	مُحَمّدٍ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/261/5.json	al-istibsar
1	ابن ابي حمزه عن علي بن ابراهيم	ابنِ أَبِي حَمزَةَ عَن عَلِيّ بنِ اِبرَاهِيمَ	books/al-istibsar/1/262/2.json	al-istibsar
1	الحسن بن علي بن يقطين عن اخيه الحسين عن ابيه علي بن يقطين عن ابي الحسن	الحَسَنِ بنِ عَلِيّ بنِ يَقطِينٍ عَن أَخِيهِ الحُسَينِ عَن أَبِيهِ عَلِيّ بنِ يَقطِينٍ عَن أَبِي الحَسَنِ ع	books/al-istibsar/1/262/4.json	al-istibsar
1	هذا الحديث الحسين بن سعيد	رَوَي هَذَا الحَدِيثَ الحُسَينُ بنُ سَعِيدٍ	books/al-istibsar/1/263/3.json	al-istibsar
1	الحسن بن محبوب عن علي بن رياب عن ابي بصير عن احدهما	الحَسَنِ بنِ مَحبُوبٍ عَن عَلِيّ بنِ رِئَابٍ عَن أَبِي بَصِيرٍ عَن أَحَدِهِمَا ع	books/al-istibsar/1/264/10.json	al-istibsar
1	ابن ابي عمير عن حماد عن عبيد الله الحلبي عن ابي عبد الله	ابنِ أَبِي عُمَيرٍ عَن حَمّادٍ عَن عُبَيدِ اللّهِ الحلَبَيِ ّ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/264/11.json	al-istibsar
1	ابن ابي عمير عن رفاعه عن ابي عبد الله	ابنِ أَبِي عُمَيرٍ عَن رِفَاعَةَ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/264/16.json	al-istibsar
1	الحجال عن ثعلبه عن معمر بن عمر	الحَجّالِ عَن ثَعلَبَةَ عَن مَعمَرِ بنِ عُمَرَ	books/al-istibsar/1/264/4.json	al-istibsar
1	عنه عن محمد بن عبد الجبار عن محمد بن سنان	عَنهُ عَن مُحَمّدِ بنِ عَبدِ الجَبّارِ عَن مُحَمّدِ بنِ سِنَانٍ	books/al-istibsar/1/264/9.json	al-istibsar
1	القاسم عن علي بن ابي حمزه	القَاسِمِ عَن عَلِيّ بنِ أَبِي حَمزَةَ	books/al-istibsar/1/265/11.json	al-istibsar
1	محمد بن احمد بن مطهر انه كتب الي ابي محمد ع يخبره بما جاءت الروايه ان النبي ص ما كان يصلي	محمد بن أحمد بن مطهر أنه كتب إلي أبي محمد ع يخبره بما جاءت الرواية أن النبيص ما كان يصلي	books/al-istibsar/1/265/12.json	al-istibsar
1	علي بن حاتم عن محمد بن جعفر عن احمد بن بطه القمي عن محمد بن الحسين عن محمد بن سنان	عَلِيّ بنُ حَاتِمٍ عَن مُحَمّدِ بنِ جَعفَرٍ عَن أَحمَدَ بنِ بُطّةَ القمُيّ ّ عَن مُحَمّدِ بنِ الحُسَينِ عَن مُحَمّدِ بنِ سِنَانٍ	books/al-istibsar/1/265/15.json	al-istibsar
1	المفضل بن عمر عن ابي عبد الله	المُفَضّلِ بنِ عُمَرَ عَن أَبِي عَبدِ اللّهِ ع أَنّهُ	books/al-istibsar/1/265/15.json	al-istibsar
1	ابراهيم بن ابي اسحاق الاحمري النهاوندي عن محمد بن الحسين	اِبرَاهِيمُ بنُ أَبِي إِسحَاقَ الأحَمرَيِ ّ النهّاَونَديِ ّ عَن مُحَمّدِ بنِ الحُسَينِ	books/al-istibsar/1/265/16.json	al-istibsar
1	جماعه ايضا عن محمد بن سنان	جَمَاعَةٍ أَيضاً عَن مُحَمّدِ بنِ سِنَانٍ	books/al-istibsar/1/265/16.json	al-istibsar
1	علي بن الحسن بن فضال عن محمد بن عبيد الله الحلبي	عَلِيّ بنُ الحَسَنِ بنِ فَضّالٍ عَن مُحَمّدِ بنِ عُبَيدِ اللّهِ الحلَبَيِ ّ	books/al-istibsar/1/265/19.json	al-istibsar
1	العباس بن عامر الثقفي جميعا عن عبد الله بن بكير عن عبد الحميد الطايي عن محمد بن مسلم	العَبّاسِ بنِ عَامِرٍ الثقّفَيِ ّ جَمِيعاً عَن عَبدِ اللّهِ بنِ بُكَيرٍ عَن عَبدِ الحَمِيدِ الطاّئيِ ّ عَن مُحَمّدِ بنِ مُسلِمٍ	books/al-istibsar/1/265/19.json	al-istibsar
1	الحسين بن سعيد عن حماد بن عيسي عن حريز عن زراره	الحُسَينُ بنُ سَعِيدٍ عَن حَمّادِ بنِ عِيسَي عَن حَرِيزٍ عَن زُرَارَةَ	books/al-istibsar/1/265/20.json	al-istibsar
1	الفضيل قالواسالناهما	الفُضَيلِ قَالُواسَأَلنَاهُمَا	books/al-istibsar/1/265/20.json	al-istibsar
1	ابي بصير انه سال ابا عبد الله ع ا يزيد الرجل	أبي بصير أنه سأل أبا عبد الله ع أ يزيد الرجل	books/al-istibsar/1/265/3.json	al-istibsar
1	عنه عن اسماعيل بن مهران	عَنهُ عَن إِسمَاعِيلَ بنِ مِهرَانَ	books/al-istibsar/1/265/4.json	al-istibsar
1	الحسين بن الحسن المروزي عن يونس بن عبد الرحمن	الحُسَينِ بنِ الحَسَنِ المرَوزَيِ ّ عَن يُونُسَ بنِ عَبدِ الرّحمَنِ	books/al-istibsar/1/265/4.json	al-istibsar
1	محمد بن يعقوب عن علي بن ابراهيم عن محمد بن عيسي بن عبيد عن يونس بن عبد الرحمن عن ابي العباس البقباق	مُحَمّدُ بنُ يَعقُوبَ عَن عَلِيّ بنِ اِبرَاهِيمَ عَن مُحَمّدِ بنِ عِيسَي بنِ عُبَيدٍ عَن يُونُسَ بنِ عَبدِ الرّحمَنِ عَن أَبِي العَبّاسِ البَقبَاقِ	books/al-istibsar/1/265/5.json	al-istibsar
1	عبيد بن زراره عن ابي عبد الله	عُبَيدِ بنِ زُرَارَةَ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/265/5.json	al-istibsar
1	علي بن الحسن بن فضال عن اسماعيل بن مهران	عَلِيّ بنُ الحَسَنِ بنِ فَضّالٍ عَن إِسمَاعِيلَ بنِ مِهرَانَ	books/al-istibsar/1/265/8.json	al-istibsar
1	الحسين بن الحسن المروزي عن يونس بن عبد الرحمن عن محمد بن يحيي	الحُسَينِ بنِ الحَسَنِ المرَوزَيِ ّ عَن يُونُسَ بنِ عَبدِ الرّحمَنِ عَن مُحَمّدِ بنِ يَحيَي	books/al-istibsar/1/265/8.json	al-istibsar
1	النضر بن سويد عن هشام بن الحكم عن ابي عبد الله	النّضرِ بنِ سُوَيدٍ عَن هِشَامِ بنِ الحَكَمِ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/266/1.json	al-istibsar
1	سعد عن ايوب بن نوح	سَعدٌ عَن أَيّوبَ بنِ نُوحٍ	books/al-istibsar/1/266/2.json	al-istibsar
1	الحسن بن محبوب عن ابراهيم بن مهزم عن طلحه بن زيد عن ابي عبد الله عن ابيه	الحَسَنِ بنِ مَحبُوبٍ عَن اِبرَاهِيمَ بنِ مِهزَمٍ عَن طَلحَةَ بنِ زَيدٍ عَن أَبِي عَبدِ اللّهِ عَن أَبِيهِ ع	books/al-istibsar/1/266/2.json	al-istibsar
1	عنه عن احمد بن الحسن بن علي عن ابي همام اسماعيل بن همام عن محمد بن سعيد بن غزوان	عَنهُ عَن أَحمَدَ بنِ الحَسَنِ بنِ عَلِيّ عَن أَبِي هَمّامٍ إِسمَاعِيلَ بنِ هَمّامٍ عَن مُحَمّدِ بنِ سَعِيدِ بنِ غَزوَانَ	books/al-istibsar/1/266/3.json	al-istibsar
1	محمد بن احمد بن يحيي عن هارون بن مسلم عن مسعده بن صدقه عن جعفر عن ابيه عن ابايه ان عليا ع لم يغسل عمار بن ياسر	مُحَمّدُ بنُ أَحمَدَ بنِ يَحيَي عَن هَارُونَ بنِ مُسلِمٍ عَن مَسعَدَةَ بنِ صَدَقَةَ عَن جَعفَرٍ عَن أَبِيهِ عَن آبَائِهِ أَنّ عَلِيّاً ع لَم يُغَسّل عَمّارَ بنَ يَاسِرٍ رَحِمَهُ اللّهُ	books/al-istibsar/1/266/4.json	al-istibsar
1	هو المرقال دفنهما بدمايهما	هُوَ المِرقَالُ دَفَنَهُمَا بِدِمَائِهِمَا	books/al-istibsar/1/266/4.json	al-istibsar
1	لم يصل عليهما فما تضمن هذا الخبر من انه لم يصل عليهما وهم من الراوي لانا قد بينا وجوب الصلاه علي كل ميت	لَم يُصَلّ عَلَيهِمَا فَمَا تَضَمّنَ هَذَا الخَبَرُ مِن أَنّهُ لَم يُصَلّ عَلَيهِمَا وَهمٌ مِنَ الراّويِ لِأَنّا قَد بَيّنّا وُجُوبَ الصّلَاةِ عَلَي كُلّ مَيّتٍ	books/al-istibsar/1/266/4.json	al-istibsar
1	هذه مساله اجماع من الفرقه المحقه	هَذِهِ مَسأَلَةُ إِجمَاعٍ مِنَ الفِرقَةِ المُحِقّةِ	books/al-istibsar/1/266/4.json	al-istibsar
1	قد ذكرنا	قَد ذَكَرنَا	books/al-istibsar/1/266/4.json	al-istibsar
1	الحسن بن محمد بن سماعه عن غير واحد عن ابان عن محمد بن مسلم	الحَسَنِ بنِ مُحَمّدِ بنِ سَمَاعَةَ عَن غَيرِ وَاحِدٍ عَن أَبَانٍ عَن مُحَمّدِ بنِ مُسلِمٍ	books/al-istibsar/1/267/2.json	al-istibsar
1	ابن ابي عمير عن حماد بن عيسي عن عبيد الله الحلبي عن ابي عبد الله	ابنِ أَبِي عُمَيرٍ عَن حَمّادِ بنِ عِيسَي عَن عُبَيدِ اللّهِ الحلَبَيِ ّ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/267/4.json	al-istibsar
1	القاسم بن محمد عن ابان عن عبد الرحمن بن ابي عبد الله عن ابي عبد الله	القَاسِمِ بنِ مُحَمّدٍ عَن أَبَانٍ عَن عَبدِ الرّحمَنِ بنِ أَبِي عَبدِ اللّهِ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/267/5.json	al-istibsar
1	سهل بن زياد عن احمد بن محمد بن ابي نصر	سَهلُ بنُ زِيَادٍ عَن أَحمَدَ بنِ مُحَمّدِ بنِ أَبِي نَصرٍ	books/al-istibsar/1/269/1.json	al-istibsar
1	احمد بن محمد بن عيسي عن محمد بن ابي عمير عن حماد عن زراره	أَحمَدُ بنُ مُحَمّدِ بنِ عِيسَي عَن مُحَمّدِ بنِ أَبِي عُمَيرٍ عَن حَمّادٍ عَن زُرَارَةَ	books/al-istibsar/1/269/4.json	al-istibsar
1	علي بن الحسين عن عبد الله بن جعفر عن ابراهيم بن مهزيار عن اخيه علي بن مهزيار	عَلِيّ بنُ الحُسَينِ عَن عَبدِ اللّهِ بنِ جَعفَرٍ عَن اِبرَاهِيمَ بنِ مَهزِيَارَ عَن أَخِيهِ عَلِيّ بنِ مَهزِيَارَ	books/al-istibsar/1/269/5.json	al-istibsar
1	ابن بكير عن بعض اصحابه عن ابي عبد الله	ابنِ بُكَيرٍ عَن بَعضِ أَصحَابِهِ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/269/5.json	al-istibsar
1	علي بن الحسين بن بابويه عن محمد بن احمد بن الصلت عن عبد الله بن الصلت	عَلِيّ بنُ الحُسَينِ بنِ بَابَوَيهِ عَن مُحَمّدِ بنِ أَحمَدَ بنِ الصّلتِ عَن عَبدِ اللّهِ بنِ الصّلتِ	books/al-istibsar/1/269/6.json	al-istibsar
1	ابن ابي عمير عن حماد بن عثمان عن عبيد الله الحلبي	ابنِ أَبِي عُمَيرٍ عَن حَمّادِ بنِ عُثمَانَ عَن عُبَيدِ اللّهِ الحلَبَيِ ّ	books/al-istibsar/1/269/6.json	al-istibsar
1	علي بن الحسين عن سعد بن عبد الله عن احمد بن محمد عن علي بن الحكم	عَلِيّ بنُ الحُسَينِ عَن سَعدِ بنِ عَبدِ اللّهِ عَن أَحمَدَ بنِ مُحَمّدٍ عَن عَلِيّ بنِ الحَكَمِ	books/al-istibsar/1/269/9.json	al-istibsar
1	محمد بن اسماعيل بن بزيع عن هشام بن سالم عن ابي عبد الله	مُحَمّدِ بنِ إِسمَاعِيلَ بنِ بَزِيعٍ عَن هِشَامِ بنِ سَالِمٍ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/269/9.json	al-istibsar
1	الشيخ رحمه الله عن احمد بن محمد عن ابيه عن محمد بن الحسن الصفار عن احمد بن محمد	أخَبرَنَيِ الشّيخُ رَحِمَهُ اللّهُ عَن أَحمَدَ بنِ مُحَمّدٍ عَن أَبِيهِ عَن مُحَمّدِ بنِ الحَسَنِ الصّفّارِ عَن أَحمَدَ بنِ مُحَمّدٍ	books/al-istibsar/1/27/1.json	al-istibsar
1	ظريف يعني ابن ناصح	ظريف يعني ابن ناصح	books/al-istibsar/1/27/2.json	al-istibsar
1	ابن اخي فضيل عن ابي عبد الله	ابنِ أخَيِ فُضَيلٍ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/27/3.json	al-istibsar
1	به الحسين بن عبيد الله	أخبرني به الحسين بن عبيد الله	books/al-istibsar/1/27/4.json	al-istibsar
1	علي بن الحسين عن محمد بن يحيي عن محمد بن احمد الكوفي	عَلِيّ بنُ الحُسَينِ عَن مُحَمّدِ بنِ يَحيَي عَن مُحَمّدِ بنِ أَحمَدَ الكوُفيِ ّ	books/al-istibsar/1/271/11.json	al-istibsar
1	لقبه حمدان عن محمد بن عبد الله عن محمد بن ابي حمزه عن محمد بن يزيد عن ابي بصير	لَقَبُهُ حَمدَانُ عَن مُحَمّدِ بنِ عَبدِ اللّهِ عَن مُحَمّدِ بنِ أَبِي حَمزَةَ عَن مُحَمّدِ بنِ يَزِيدَ عَن أَبِي بَصِيرٍ	books/al-istibsar/1/271/11.json	al-istibsar
1	علي بن الحسين عن محمد بن احمد بن الصلت عن عبد الله بن الصلت	عَلِيّ بنُ الحُسَينِ عَن مُحَمّدِ بنِ أَحمَدَ بنِ الصّلتِ عَن عَبدِ اللّهِ بنِ الصّلتِ	books/al-istibsar/1/271/4.json	al-istibsar
1	ابن بكير عن قدامه بن زايده	ابنِ بُكَيرٍ عَن قُدَامَةَ بنِ زَائِدَةَ	books/al-istibsar/1/271/4.json	al-istibsar
1	الحسين بن سعيد عن محمد بن ابي عمير عن حماد بن عثمان	الحُسَينُ بنُ سَعِيدٍ عَن مُحَمّدِ بنِ أَبِي عُمَيرٍ عَن حَمّادِ بنِ عُثمَانَ	books/al-istibsar/1/271/8.json	al-istibsar
1	هشام بن سالم عن ابي عبد الله	هِشَامِ بنِ سَالِمٍ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/271/8.json	al-istibsar
1	اسماعيل الجعفي عن ابي جعفر	إِسمَاعِيلَ الجعُفيِ ّ عَن أَبِي جَعفَرٍ ع	books/al-istibsar/1/272/1.json	al-istibsar
1	احمد بن محمد بن عيسي عن محمد بن اسماعيل بن بزيع عن عمه حمزه بن بزيع عن علي بن سويد	أَحمَدُ بنُ مُحَمّدِ بنِ عِيسَي عَن مُحَمّدِ بنِ إِسمَاعِيلَ بنِ بَزِيعٍ عَن عَمّهِ حَمزَةَ بنِ بَزِيعٍ عَن عَلِيّ بنِ سُوَيدٍ	books/al-istibsar/1/272/2.json	al-istibsar
1	ما رواه محمد بن احمد بن يحيي عن جعفر بن محمد بن عبد الله القمي عن عبد الله بن ميمون القداح عن جعفر عن ابيه ان عليا ع كان اذا صلي علي ميت يقرا بفاتحه الكتاب	مَا رَوَاهُ مُحَمّدُ بنُ أَحمَدَ بنِ يَحيَي عَن جَعفَرِ بنِ مُحَمّدِ بنِ عَبدِ اللّهِ القمُيّ ّ عَن عَبدِ اللّهِ بنِ مَيمُونٍ القَدّاحِ عَن جَعفَرٍ عَن أَبِيهِ أَنّ عَلِيّاً ع كَانَ إِذَا صَلّي عَلَي مَيّتٍ يَقرَأُ بِفَاتِحَةِ الكِتَابِ	books/al-istibsar/1/272/3.json	al-istibsar
1	يصلي علي النبي	يصُلَيّ عَلَي النّبِيّ	books/al-istibsar/1/272/3.json	al-istibsar
1	اله تمام الحديث فالوجه	آلِهِ تَمَامَ الحَدِيثِ فَالوَجهُ	books/al-istibsar/1/272/3.json	al-istibsar
1	محمد بن يعقوب عن عده من اصحابنا عن سهل بن زياد عن محمد بن سنان عن عبد الله بن مسكان	مُحَمّدُ بنُ يَعقُوبَ عَن عِدّةٍ مِن أَصحَابِنَا عَن سَهلِ بنِ زِيَادٍ عَن مُحَمّدِ بنِ سِنَانٍ عَن عَبدِ اللّهِ بنِ مُسكَانَ	books/al-istibsar/1/273/1.json	al-istibsar
1	ابو الحسن احمد بن محمد بن الصلت الاهوازي	أخبرني أبو الحسن أحمد بن محمد بن الصلت الأهوازي 	books/al-istibsar/1/274/1.json	al-istibsar
1	علي ع انه كان لا يرفع يديه	علي ع أنه كان لا يرفع يديه	books/al-istibsar/1/274/5.json	al-istibsar
1	زراره عن ابي عبد الله ع انه سيل	زُرَارَةَ عَن أَبِي عَبدِ اللّهِ ع أَنّهُ سُئِلَ	books/al-istibsar/1/275/1.json	al-istibsar
1	محمد بن احمد بن يحيي عن احمد بن الحسن بن علي عن عمرو بن سعيد عن مصدق بن صدقه عن عمار عن ابي عبد الله ع انه سيل	مُحَمّدُ بنُ أَحمَدَ بنِ يَحيَي عَن أَحمَدَ بنِ الحَسَنِ بنِ عَلِيّ عَن عَمرِو بنِ سَعِيدٍ عَن مُصَدّقِ بنِ صَدَقَةَ عَن عَمّارٍ عَن أَبِي عَبدِ اللّهِ ع أَنّهُ سُئِلَ	books/al-istibsar/1/275/4.json	al-istibsar
1	النضر بن شعيب عن خلف بن زياد القلانسي عن رجل عن ابي جعفر	النّضرِ بنِ شُعَيبٍ عَن خَلَفِ بنِ زِيَادٍ القلَاَنسِيِ ّ عَن رَجُلٍ عَن أَبِي جَعفَرٍ ع	books/al-istibsar/1/276/2.json	al-istibsar
1	الحسن بن علي بن فضال عن ابي جميله عن زيد الشحام	الحَسَنِ بنِ عَلِيّ بنِ فَضّالٍ عَن أَبِي جَمِيلَةَ عَن زَيدٍ الشّحّامِ	books/al-istibsar/1/276/3.json	al-istibsar
1	احمد بن محمد بن عيسي عن عبد الله بن المغيره عن عبد الله بن مسكان	أَحمَدُ بنُ مُحَمّدِ بنِ عِيسَي عَن عَبدِ اللّهِ بنِ المُغِيرَةِ عَن عَبدِ اللّهِ بنِ مُسكَانَ	books/al-istibsar/1/276/5.json	al-istibsar
1	الحسن بن علي بن يوسف عن معاذ بن ثابت الجوهري عن عمرو بن جميع عن ابي عبد الله	الحَسَنِ بنِ عَلِيّ بنِ يُوسُفَ عَن مُعَاذِ بنِ ثَابِتٍ الجوَهرَيِ ّ عَن عَمرِو بنِ جُمَيعٍ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/277/3.json	al-istibsar
1	ميت صلي عليه فلما سلم الامام اذا الميت مقلوب رجلاه الي موضع راسه	ميت صلي  عليه فلما سلم الإمام إذا الميت مقلوب رجلاه إلي موضع رأسه	books/al-istibsar/1/277/5.json	al-istibsar
1	السياري عن محمد بن اسلم عن رجل من اهل الجزيره	السيّاّريِ ّ عَن مُحَمّدِ بنِ أَسلَمَ عَن رَجُلٍ مِن أَهلِ الجَزِيرَةِ	books/al-istibsar/1/277/6.json	al-istibsar
1	علي بن الحسين عن سعد عن احمد بن محمد بن عيسي عن احمد بن محمد بن ابي نصر	عَلِيّ بنُ الحُسَينِ عَن سَعدٍ عَن أَحمَدَ بنِ مُحَمّدِ بنِ عِيسَي عَن أَحمَدَ بنِ مُحَمّدِ بنِ أَبِي نَصرٍ	books/al-istibsar/1/277/7.json	al-istibsar
1	الحسين بن موسي عن جعفر بن عيسي	الحُسَينِ بنِ مُوسَي عَن جَعفَرِ بنِ عِيسَي	books/al-istibsar/1/277/7.json	al-istibsar
1	علي بن الحسين عن سعد	عَلِيّ بنُ الحُسَينِ عَن سَعدٍ	books/al-istibsar/1/278/3.json	al-istibsar
1	الحسن بن موسي الخشاب عن غياث بن كلوب بن فيهس البجلي عن اسحاق بن عمار عن ابي عبد الله ع ان رسول الله ص صلي علي جنازه فلما فرغ جاء قوم فقالوا فاتتنا الصلاه عليها	الحَسَنِ بنِ مُوسَي الخَشّابِ عَن غِيَاثِ بنِ كَلّوبِ بنِ فَيهَسٍ البجَلَيِ ّ عَن إِسحَاقَ بنِ عَمّارٍ عَن أَبِي عَبدِ اللّهِ ع أَنّ رَسُولَ اللّهِص صَلّي عَلَي جِنَازَةٍ فَلَمّا فَرَغَ جَاءَ قَومٌ فَقَالُوا فَاتَتنَا الصّلَاةُ عَلَيهَا	books/al-istibsar/1/278/3.json	al-istibsar
1	ابيه ع ان رسول الله ص صلي علي جنازه فلما فرغ جاءه ناس فقالوا يا رسول الله لم ندرك الصلاه عليها	أبيه ع أن رسول اللهص صلي علي جنازة فلما فرغ جاءه ناس فقالوا يا رسول الله لم ندرك الصلاة عليها	books/al-istibsar/1/278/4.json	al-istibsar
1	علي بن الحسين عن عبد الرحمن بن ابي نجران	عَلِيّ بنُ الحُسَينِ عَن عَبدِ الرّحمَنِ بنِ أَبِي نَجرَانَ	books/al-istibsar/1/279/1.json	al-istibsar
1	محمد بن الوليد جميعا عن عاصم بن حميد عن يزيد بن خليفه	مُحَمّدِ بنِ الوَلِيدِ جَمِيعاً عَن عَاصِمِ بنِ حُمَيدٍ عَن يَزِيدَ بنِ خَلِيفَةَ	books/al-istibsar/1/279/1.json	al-istibsar
1	العباس بن عامر عن ابي المعزي عن سماعه عن ابي بصير عن ابي عبد الله	العَبّاسِ بنِ عَامِرٍ عَن أَبِي المِعزَي عَن سَمَاعَةَ عَن أَبِي بَصِيرٍ عَن أَبِي عَبدِ اللّهِ ع أَنّهُ	books/al-istibsar/1/279/2.json	al-istibsar
1	الحسن بن علي بن فضال عن غالب بن عثمان عن روح بن عبد الرحيم	الحَسَنِ بنِ عَلِيّ بنِ فَضّالٍ عَن غَالِبِ بنِ عُثمَانَ عَن رَوحِ بنِ عَبدِ الرّحِيمِ	books/al-istibsar/1/28/2.json	al-istibsar
1	الشيخ رحمه الله عن احمد بن محمد بن يحيي عن ابيه	أخَبرَنَيِ الشّيخُ رَحِمَهُ اللّهُ عَن أَحمَدَ بنِ مُحَمّدِ بنِ يَحيَي عَن أَبِيهِ	books/al-istibsar/1/28/3.json	al-istibsar
1	ما رواه محمد بن علي بن محبوب عن محمد بن عبد الجبار	مَا رَوَاهُ مُحَمّدُ بنُ عَلِيّ بنِ مَحبُوبٍ عَن مُحَمّدِ بنِ عَبدِ الجَبّارِ	books/al-istibsar/1/28/5.json	al-istibsar
1	الحسن بن علي بن فضال عن صفوان عن منصور عن ابي عبيده الحذاء عن ابي عبد الله	الحَسَنِ بنِ عَلِيّ بنِ فَضّالٍ عَن صَفوَانَ عَن مَنصُورٍ عَن أَبِي عُبَيدَةَ الحَذّاءِ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/1/28/5.json	al-istibsar
